Nr,Y,X,H,Kodi,Burimi,Saktesia(cm),Besueshmeria
1,7511307.168,4688466.76,671.2178,2,1,3,1
2,7511278.313,4688419.793,685.8253,2,1,3,1
3,7511273.475,4688413.641,688.3528,2,1,3,1
4,7511258.46,4688394.55,692.738,2,1,3,1
5,7511247.198,4688379.346,696.9488,2,1,3,1
6,7511241.842,4688365.631,699.657,2,1,3,1
7,7511243.797,4688363.391,699.8388,2,1,3,1
8,7511222.525,4688334.13,710.5941,2,1,3,1
9,7511232.425,4688433.249,688.7333,2,1,3,1
19119,7511212.751,4688393.054,697.545,2,1,3,1
19120,7511194.411,4688353.236,708.0711,2,1,3,1
19144,7511242.659,4688320.446,710.8065,2,1,3,1
19145,7511247.849,4688312.896,711.7734,2,1,3,1
19146,7511272.818,4688267.346,716.0359,2,1,3,1
19147,7511275.838,4688259.137,716.7175,2,1,3,1
19148,7511288.907,4688238.007,716.1485,2,1,3,1
19149,7511290.507,4688229.377,715.4223,2,1,3,1
19171,7511309.681,4688463.209,671.4749,2,1,3,1
19172,7511302.441,4688473.439,671.0863,2,1,3,1
19173,7511300.391,4688476.859,670.9957,2,1,3,1
19174,7511285.471,4688488.059,671.6959,2,1,3,1
19175,7511274.862,4688496.079,672.1545,2,1,3,1
19176,7511265.422,4688501.239,673.0811,2,1,3,1
19207,7511294.537,4688234.237,712.7071,2,1,3,1
19210,7511250.73,4688377.394,696.9166,2,1,3,1
19211,7511246.45,4688366.434,699.2591,2,1,3,1
19212,7511279.009,4688329.104,701.2778,2,1,3,1
19213,7511294.718,4688270.706,707.846,2,1,3,1
19214,7511295.217,4688252.596,711.2451,2,1,3,1
19256,7511281.6,4688417.502,685.1631,2,1,3,1
19257,7511261.64,4688392.123,692.8126,2,1,3,1
19258,7511218.361,4688403.804,694.937,2,1,3,1
19314,7511245.772,4688461.191,681.7507,2,1,3,1
25378,7511294.84,4688242.424,712.2148,2,1,3,1
