Nr,Y,X,H,Kodi,Burimi,Saktesia(cm),Besueshmeria
1,7511242.639,4687965.268,757.8016,2,1,3,1
2,7511302.001,4688013.076,738.9196,2,1,3,1
18950,7511320.843,4688006.803,739.5458,2,1,3,1
18951,7511291.923,4687982.845,751.7875,2,1,3,1
18952,7511248.993,4687944.607,764.3435,2,1,3,1
18953,7511241.354,4687969.446,755.5199,2,1,3,1
18954,7511209.385,4688002.356,737.1701,2,1,3,1
18955,7511241.374,4688020.015,732.4407,2,1,3,1
18956,7511258.414,4688039.044,722.5998,2,1,3,1
18957,7511292.184,4688016.344,737.3183,2,1,3,1
25799,7511211.142,4688003.326,736.8032,2,1,3,1
