356,7511360.5257,4688635.5786,653.6951,1
357,7511314.6268,4688666.9349,657.7388,2
358,7511298.9572,4688677.6398,657.8870,3
359,7511272.2533,4688694.5479,657.0854,4
360,7511274.3931,4688697.9275,656.8557,5
361,7511256.9378,4688670.3593,658.7425,6
362,7511300.2113,4688644.1401,659.4966,7
17946,7511347.4640,4688615.3330,654.8282,17946
17947,7511362.6950,4688638.9410,653.5930,17947
19484,7511237.2870,4688721.4220,652.2930,19484
19485,7511221.2560,4688691.8140,654.1977,19485
19486,7511244.3060,4688678.0040,657.7766,19486
20069,7511293.4650,4688648.2530,659.6685,20069
20070,7511301.1560,4688680.9820,657.5683,20070
26944,7511312.2100,4688636.8250,658.9806,26944
