1,4688353.238,7511194.416,708.071
2,4688320.464,7511242.662,710.802
3,4688312.843,7511247.836,711.79
4,4688267.304,7511272.827,716.043
5,4688259.12,7511275.848,716.719
6,4688238.057,7511288.925,716.152
7,4688229.351,7511290.536,715.414
8,4688234.203,7511294.55,712.7
9,4688243.937,7511295.901,711.482
10,4688252.561,7511295.173,711.313
11,4688638.929,7511362.701,653.591
12,4688635.594,7511360.537,653.694
13,4688615.307,7511347.441,654.83
14,4688651.116,7511344.887,656.198
15,4688647.96,7511342.451,656.536
16,4688626.223,7511329.63,658.131
17,4688636.822,7511312.236,658.979
18,4688644.137,7511300.192,659.498
19,4688648.27,7511293.472,659.669
20,4688670.357,7511256.945,658.743
21,4688678.024,7511244.32,657.777
22,4688691.812,7511221.266,654.198
23,4688721.463,7511237.208,652.283
24,4688697.921,7511274.391,656.856
25,4688694.543,7511272.255,657.086
26,4688680.991,7511301.137,657.565
27,4688677.638,7511298.964,657.887
28,4688666.919,7511314.617,657.74
29,4688671.055,7511315.666,657.472
30,4688588.096,7511078.444,663.241
31,4688593.292,7511079.376,662.774
32,4688598.519,7511080.446,661.724
33,4688602.427,7511101.642,657.317
34,4688586.552,7511108.131,658.098
35,4688593.518,7511099.649,659.993
36,4688270.676,7511294.696,707.839
37,4688329.084,7511278.976,701.288
38,4688366.445,7511246.46,699.257
39,4688363.381,7511243.784,699.841
40,4688365.612,7511241.832,699.661
41,4688377.379,7511250.734,696.919
42,4688379.344,7511247.224,696.947
43,4688392.125,7511261.658,692.81
44,4688394.556,7511258.44,692.739
45,4688413.637,7511273.482,688.353
46,4688417.487,7511281.802,685.102
47,4688419.752,7511278.262,685.845
48,4688463.21,7511309.685,671.474
49,4688466.765,7511307.158,671.217
50,4688473.367,7511302.591,671.071
51,4688476.87,7511300.393,670.994
52,4688488.078,7511285.498,671.689
53,4688496.086,7511274.842,672.155
54,4688501.311,7511265.444,673.104
55,4688501.262,7511265.445,673.074
56,4688461.23,7511245.765,681.744
57,4688433.273,7511232.417,688.73
58,4688403.805,7511218.37,694.936
59,4688393.062,7511212.746,697.544
60,4688334.08,7511222.517,710.609
61,4688002.293,7511209.402,737.206
62,4688003.285,7511211.118,736.821
63,4688019.926,7511241.325,732.493
64,4688038.942,7511258.309,722.567
65,4688024.146,7511280.577,732.738
66,4688016.328,7511292.175,737.326
67,4688013.065,7511302.042,738.925
68,4688006.81,7511320.837,739.543
69,4687955.919,7511261.754,765.318
70,4687944.65,7511248.987,764.342
71,4687965.255,7511242.648,757.809
72,4687969.447,7511241.336,755.517
